,animal_id,time,Plate.ID,species,0.00390625,0.0058594,0.0078125,0.011719,0.015625,0.0234375,0.023438,0.03125,0.046875,0.0625,0.09375,0.125,0.1875,0.25,0.375,0.5,1,npar,Infl.logX,Infl.propY,Prop.BottomAsym,Prop.TopAsym,Log.Xinfl,Log.Slope,Asym.Coef,gof,wgof,stdErr,wstdErr
55,iguana8,60,IG8,iguana,NA,0.009080688,NA,0.014442619,NA,NA,0.997146069,NA,0.999827035,NA,0.995367435,NA,NA,NA,NA,NA,NA,4,-1.809348053,0.503342415,0.009079416,0.997605415,-1.809348053,18.58746229,1,0.999991471,0.999999953,0.001820637,0.000233672
56,iguana8,120,IG8,iguana,NA,0.010983309,NA,0.00703054,NA,NA,0.024993514,NA,0.990871252,NA,0.993488102,NA,NA,NA,NA,NA,NA,5,-1.563517541,0.392626774,0.009008025,0.993487604,-1.645884692,10.98395487,8.030028094,0.999993193,0.999999937,0.001613712,0.000268804
57,iguana8,240,IG8,iguana,NA,0.024474617,NA,0.0516302,NA,NA,0.042290063,NA,0.997146069,NA,0.994119173,NA,NA,NA,NA,NA,NA,4,-1.545281211,0.516829856,0.038028422,0.99563129,-1.545281211,27.70951645,1,0.999659863,0.999998069,0.011154939,0.001455682
58,iguana9,0,IG9,iguana,NA,0.00231588,NA,0.011183515,NA,NA,0.991282142,NA,0.993659739,NA,0.994552165,NA,NA,NA,NA,NA,NA,5,-1.859978306,0.385708631,0.002318475,0.9941196,-1.948092476,11.06157676,9.433691186,0.99999966,0.999999993,0.000363948,8.86E-05
59,iguana9,30,IG9,iguana,NA,0.005283551,NA,0.006516379,NA,NA,0.984501585,NA,0.979394153,NA,0.97974639,NA,NA,NA,NA,NA,NA,4,-1.843411095,0.492921522,0.005282741,0.980560304,-1.843411095,33.03963475,1,0.99998462,0.999999904,0.002419142,0.00033099
60,iguana9,60,IG9,iguana,NA,0.013384995,NA,0.000352237,NA,NA,0.991370201,NA,0.986615005,NA,0.989961254,NA,NA,NA,NA,NA,NA,5,-1.899978957,0.369898289,0.006868101,0.989727558,-1.948734059,42.91708448,123.7162714,0.999915942,0.999991575,0.005696996,0.003123915
61,iguana9,120,IG9,iguana,NA,0.012328285,NA,0.004255188,NA,NA,0.981155336,NA,0.976752378,NA,0.977985206,NA,NA,NA,NA,NA,NA,5,-1.895606931,0.366852,0.008291236,0.978229514,-1.948624822,37.89287261,102.0939924,0.999961599,0.999995373,0.003803048,0.002286537
62,iguana9,240,IG9,iguana,NA,0.008277563,NA,0.004693196,NA,NA,0.99788658,NA,0.998238817,NA,0.997182106,NA,NA,NA,NA,NA,NA,5,-1.897439095,0.372758741,0.006484879,0.997848893,-1.948639241,40.29392271,115.6257866,0.999994045,0.999999499,0.001529914,0.00076851
63,leca1,0,,curlytail,0.491799266,NA,0.983353733,NA,0.992599561,NA,NA,0.996094436,NA,0.99755202,NA,NA,NA,NA,NA,NA,NA,5,-2.524141851,-0.404619628,-1.695538739,0.996023638,-2.541527684,5.578826304,1.25023757,0.999938599,0.999998416,0.002026254,0.000563776
64,leca1,30,,curlytail,0.207099143,NA,0.83500612,NA,0.997449495,NA,NA,0.991146942,NA,0.979436965,NA,NA,NA,NA,NA,NA,NA,4,-2.167060734,0.597484715,0.204324991,0.990644439,-2.167060734,10.15075311,1,0.999620977,0.999991393,0.007627235,0.001990749
65,leca1,60,,curlytail,0.009188144,NA,0.007762674,NA,0.265605875,NA,NA,0.997318935,NA,0.972582619,NA,NA,NA,NA,NA,NA,NA,4,-1.783725462,0.496703482,0.008466216,0.984940749,-1.783725462,19.89508986,1,0.999691905,0.999992662,0.010116472,0.002704103
66,leca1,120,,curlytail,0.00454987,NA,0.003204049,NA,0.979681763,NA,NA,0.95495716,NA,0.943206854,NA,NA,NA,NA,NA,NA,NA,5,-2.066541738,0.356695175,0.003876461,0.956386891,-2.123158621,32.83627623,72.2915619,0.999343723,0.999960394,0.015484554,0.00658865
67,leca1,240,,curlytail,0.006608249,NA,0.006169556,NA,0.998041616,NA,NA,0.99923571,NA,0.961811506,NA,NA,NA,NA,NA,NA,NA,5,-2.072744492,0.370572895,0.006388402,0.991263067,-2.124158935,38.59801945,96.49297006,0.999152881,0.999966573,0.01804626,0.006209049
68,leca12,0,,curlytail,0.02776137,NA,0.025004922,NA,0.067926757,NA,NA,0.999030355,NA,0.997053723,NA,NA,NA,NA,NA,NA,NA,4,-1.736600376,0.512219248,0.026379404,0.998059093,-1.736600376,19.40255919,1,0.999994723,0.999999821,0.001392275,0.000444528
69,leca12,30,,curlytail,0.039574719,NA,0.004777035,NA,0.049812955,NA,NA,0.001181335,NA,0.993340922,NA,NA,NA,NA,NA,NA,NA,5,-1.16031773,1.763298641,0.02353082,4.201564121,-1.248928953,5.972914325,3.382729284,0.997611292,0.999944538,0.024498221,0.006465655
70,leca12,60,,curlytail,0.004762685,NA,0.004534145,NA,0.03012404,NA,NA,0.005427733,NA,0.994093326,NA,NA,NA,NA,NA,NA,NA,5,-1.187072593,1.23405722,0.007437204,2.89696883,-1.253821279,6.796640166,2.842279635,0.999308865,0.999975047,0.013347529,0.004392757
71,leca12,120,,curlytail,9.81E-05,NA,0.00939131,NA,0.023036031,NA,NA,0.002826561,NA,0.99141381,NA,NA,NA,NA,NA,NA,NA,5,-1.123863879,2.981020686,0.008000555,7.182878197,-1.227616826,5.301997619,3.548933644,0.999588941,0.999987567,0.010289419,0.003099441
72,leca12,240,,curlytail,0.015948021,NA,0.026186257,NA,0.050600512,NA,NA,0.093128569,NA,0.996099391,NA,NA,NA,NA,NA,NA,NA,4,-1.202920154,1.002582273,0.027007793,1.978156752,-1.202920154,4.811656674,1,0.999212753,0.999994284,0.013792976,0.002035594
73,leca15,0,,curlytail,0.029593944,NA,0.00130114,NA,0.997856976,NA,NA,0.994483344,NA,0.99814975,NA,NA,NA,NA,NA,NA,NA,5,-2.080955373,0.378306067,0.015447046,0.997292761,-2.120370122,51.6412507,108.4992974,0.999646076,0.999972551,0.011678856,0.00563343
74,leca15,30,,curlytail,0.009418586,NA,0.001535437,NA,0.042440927,NA,NA,0.990364763,NA,0.993117688,NA,NA,NA,NA,NA,NA,NA,5,-1.747537451,0.392302186,0.005474348,0.99312032,-1.829619063,10.53274678,7.320568941,0.999972725,0.999999879,0.003218284,0.000371839
75,leca15,60,,curlytail,0.00280274,NA,0.005587304,NA,0.537508603,NA,NA,0.995269278,NA,0.992766671,NA,NA,NA,NA,NA,NA,NA,5,-1.813726021,0.49897988,0.003023839,0.994838977,-1.813701504,8.963409084,0.999494132,0.99999091,0.999999685,0.001724025,0.000555492
76,leca15,120,,curlytail,0.15439321,NA,0.175498968,NA,0.108281716,NA,NA,0.991349985,NA,0.993361976,NA,NA,NA,NA,NA,NA,NA,5,-1.696419807,0.469816545,0.151553594,0.993362972,-1.787383666,13.70190254,17.63510029,0.997152685,0.999994977,0.02860012,0.002080646
77,leca15,240,,curlytail,0.061711402,NA,0.06079376,NA,0.139710943,NA,NA,0.992658867,NA,0.981647167,NA,NA,NA,NA,NA,NA,NA,4,-1.755973191,0.524217741,0.06126401,0.987171472,-1.755973191,20.58466111,1,0.999937352,0.999998115,0.004513709,0.001356203
78,leca16,0,,curlytail,0.007837073,NA,0.003655529,NA,0.015661104,NA,NA,0.995892169,NA,0.978947368,NA,NA,NA,NA,NA,NA,NA,4,-1.73393748,0.496580351,0.005751136,0.987409567,-1.73393748,27.56643963,1,0.999867422,0.999999195,0.007125407,0.000961546
79,leca16,30,,curlytail,0.146084724,NA,0.203594352,NA,0.225160462,NA,NA,0.271116816,NA,0.993838254,NA,NA,NA,NA,NA,NA,NA,4,-1.201917491,1.00266491,0.196788604,1.808541217,-1.201917491,4.335043451,1,0.993538003,0.999884728,0.032743372,0.007574662
80,leca16,60,,curlytail,0.274454429,NA,0.345827985,NA,0.429011553,NA,NA,0.998270839,NA,0.997048303,NA,NA,NA,NA,NA,NA,NA,4,-1.766541941,0.653937958,0.310206774,0.997669143,-1.766541941,17.15506769,1,0.995059417,0.999949767,0.029142214,0.005089659
81,leca16,120,,curlytail,0.449037227,NA,0.531450578,NA,0.532734275,NA,NA,0.998447225,NA,0.995016031,NA,NA,NA,NA,NA,NA,NA,4,-1.755728569,0.743462092,0.49019392,0.996730264,-1.755728569,20.56615784,1,0.988486359,0.999841775,0.03367433,0.006837401
82,leca16,240,,curlytail,0.429781772,NA,0.418228498,NA,0.548395379,NA,NA,0.969191271,NA,0.996029489,NA,NA,NA,NA,NA,NA,NA,5,-1.751350194,0.663647558,0.423951452,0.996757531,-1.847482301,5.296072539,3.229405721,0.99979813,0.999997263,0.004724164,0.000952794
83,leca17,0,,curlytail,0.001611789,NA,0.010361501,NA,0.012203546,NA,NA,0.992256631,NA,0.990222085,NA,NA,NA,NA,NA,NA,NA,5,-1.76908449,0.373497625,0.005926151,0.991239263,-1.847070414,19.82405636,35.15583052,0.999965202,0.999999319,0.00366822,0.000888667
84,leca17,30,,curlytail,0.006537223,NA,0.026939903,NA,0.000427736,NA,NA,0.994882507,NA,0.997037146,NA,NA,NA,NA,NA,NA,NA,5,-1.699298644,0.382725677,0.008588107,0.997037576,-1.788877474,13.7041686,16.88897883,0.999649794,0.999998959,0.011655999,0.001100599
85,leca17,60,,curlytail,0.002393504,NA,0.016808658,NA,0.052728529,NA,NA,0.996751633,NA,0.995544793,NA,NA,NA,NA,NA,NA,NA,4,-1.737201107,0.502816765,0.009488807,0.996144724,-1.737201107,19.40859532,1,0.999907802,0.999998255,0.005907322,0.001407737
